is_canceled,hotel,arrival_date_month,lead_time,adr,market_segment,customer_type,deposit_type,total_of_special_requests,booking_changes,arrival_month_num,days_in_waiting_list,is_repeated_guest,required_car_parking_spaces,previous_cancellations
0,Resort Hotel,July,36,108.8,Online TA,Transient,No Deposit,1,0,7,0,0,0,0
1,Resort Hotel,July,79,108.73,Offline TA/TO,Transient,No Deposit,2,0,7,0,0,0,0
1,Resort Hotel,July,48,112.0,Direct,Transient,No Deposit,0,0,7,0,0,0,0
0,Resort Hotel,July,4,186.5,Online TA,Transient,No Deposit,0,0,7,0,0,0,0
1,Resort Hotel,August,80,134.0,Online TA,Transient,No Deposit,2,1,8,0,0,0,0
0,Resort Hotel,August,21,0.0,Direct,Transient,No Deposit,0,0,8,0,0,0,0
1,Resort Hotel,August,24,236.0,Online TA,Transient,No Deposit,2,0,8,0,0,0,0
1,Resort Hotel,August,61,150.83,Online TA,Transient,No Deposit,1,1,8,0,0,0,0
1,Resort Hotel,August,55,164.0,Online TA,Transient,No Deposit,2,0,8,0,0,0,0
1,Resort Hotel,August,29,189.86,Online TA,Transient,No Deposit,0,0,8,0,0,0,0
1,Resort Hotel,August,54,121.5,Online TA,Transient,No Deposit,0,0,8,0,0,0,0
0,Resort Hotel,September,4,154.25,Online TA,Transient,No Deposit,0,0,9,0,0,0,0
1,Resort Hotel,September,0,146.0,Direct,Transient,No Deposit,2,0,9,0,0,0,0
0,Resort Hotel,September,49,115.4,Online TA,Transient,No Deposit,2,0,9,0,0,0,0
0,Resort Hotel,September,0,8.0,Direct,Transient,No Deposit,0,0,9,0,0,1,0
0,Resort Hotel,September,34,90.43,Direct,Transient,No Deposit,0,0,9,0,0,0,0
0,Resort Hotel,September,167,45.9,Offline TA/TO,Contract,No Deposit,1,0,9,0,0,0,0
0,Resort Hotel,September,84,83.8,Offline TA/TO,Contract,No Deposit,1,0,9,0,0,0,0
0,Resort Hotel,October,10,116.0,Online TA,Transient,No Deposit,1,0,10,0,0,1,0
0,Resort Hotel,October,68,55.0,Online TA,Transient,No Deposit,2,0,10,0,0,0,0
0,Resort Hotel,November,29,72.29,Online TA,Transient,No Deposit,0,0,11,0,0,0,0
1,Resort Hotel,December,24,78.0,Online TA,Transient,No Deposit,1,0,12,0,0,0,0
0,Resort Hotel,December,51,89.25,Online TA,Transient,No Deposit,0,0,12,0,0,0,0
1,Resort Hotel,April,108,84.0,Groups,Transient,Non Refund,0,0,4,0,0,0,0
1,Resort Hotel,April,45,86.0,Groups,Transient-Party,No Deposit,0,0,4,0,0,0,0
1,Resort Hotel,May,122,64.09,Online TA,Transient,No Deposit,0,0,5,0,0,0,0
0,Resort Hotel,May,189,44.45,Offline TA/TO,Transient-Party,No Deposit,0,1,5,0,0,0,0
1,Resort Hotel,May,2,89.0,Online TA,Transient,No Deposit,0,0,5,0,0,0,0
0,Resort Hotel,May,225,85.0,Groups,Transient-Party,No Deposit,0,0,5,0,0,0,0
1,Resort Hotel,June,120,106.0,Online TA,Transient,No Deposit,0,0,6,0,0,0,0
1,Resort Hotel,July,136,115.2,Offline TA/TO,Transient,No Deposit,0,0,7,0,0,0,0
1,Resort Hotel,July,106,240.0,Online TA,Transient,No Deposit,0,0,7,0,0,0,0
1,Resort Hotel,July,191,26.1,Offline TA/TO,Transient,No Deposit,0,0,7,0,0,0,0
1,Resort Hotel,August,61,209.0,Online TA,Transient,No Deposit,0,0,8,0,0,0,0
1,Resort Hotel,September,188,150.6,Direct,Transient,No Deposit,0,0,9,0,0,0,0
1,Resort Hotel,September,53,100.0,Online TA,Transient,No Deposit,2,0,9,0,0,0,0
0,Resort Hotel,October,383,44.0,Groups,Transient-Party,No Deposit,0,1,10,0,0,0,0
1,Resort Hotel,October,180,57.0,Online TA,Transient,No Deposit,0,0,10,0,0,0,0
1,Resort Hotel,October,87,98.0,Online TA,Transient,No Deposit,0,0,10,0,0,0,0
1,Resort Hotel,October,153,45.86,Online TA,Transient,No Deposit,0,0,10,0,0,0,0
1,Resort Hotel,October,87,38.03,Online TA,Transient,No Deposit,0,0,10,0,0,0,0
1,Resort Hotel,December,90,37.8,Online TA,Transient,No Deposit,0,0,12,0,0,0,0
1,Resort Hotel,December,284,229.4,Online TA,Transient,No Deposit,2,0,12,0,0,0,0
1,Resort Hotel,January,42,62.0,Online TA,Transient,No Deposit,0,0,1,0,0,0,0
1,Resort Hotel,January,41,55.0,Groups,Transient-Party,No Deposit,0,1,1,0,0,0,0
1,Resort Hotel,February,2,48.0,Online TA,Transient,No Deposit,0,0,2,0,0,0,0
1,Resort Hotel,February,26,72.0,Online TA,Transient,No Deposit,0,0,2,0,0,0,0
1,Resort Hotel,March,11,75.0,Direct,Transient,No Deposit,0,0,3,0,0,0,0
1,Resort Hotel,March,26,60.0,Online TA,Transient,No Deposit,1,0,3,0,0,0,0
1,Resort Hotel,March,282,66.6,Online TA,Transient,No Deposit,0,0,3,0,0,0,0
1,Resort Hotel,April,90,74.0,Offline TA/TO,Transient,No Deposit,0,0,4,0,0,0,0
1,Resort Hotel,May,38,175.0,Direct,Transient,No Deposit,0,0,5,0,0,0,0
1,Resort Hotel,May,72,158.33,Online TA,Transient,Refundable,1,0,5,0,0,0,0
1,Resort Hotel,May,216,54.0,Offline TA/TO,Transient,No Deposit,1,0,5,0,0,0,0
1,Resort Hotel,June,342,260.0,Online TA,Transient,No Deposit,0,0,6,0,0,0,0
1,Resort Hotel,July,303,108.1,Online TA,Transient,No Deposit,3,0,7,0,0,0,0
1,Resort Hotel,July,0,174.0,Direct,Transient,No Deposit,1,0,7,0,0,0,0
1,Resort Hotel,August,101,213.75,Direct,Transient,No Deposit,0,0,8,0,0,0,0
1,Resort Hotel,August,130,261.0,Online TA,Transient,No Deposit,1,0,8,0,0,0,0
1,Resort Hotel,August,99,236.67,Online TA,Transient,No Deposit,1,0,8,0,0,0,0
0,Resort Hotel,August,9,205.0,Direct,Transient,No Deposit,0,2,8,0,0,0,0
0,Resort Hotel,November,8,35.0,Direct,Transient,No Deposit,1,0,11,0,0,0,0
0,Resort Hotel,September,0,167.5,Direct,Transient,No Deposit,0,1,9,0,0,0,0
0,Resort Hotel,November,8,35.0,Corporate,Transient,No Deposit,1,0,11,0,0,0,0
0,Resort Hotel,January,0,38.0,Corporate,Transient,No Deposit,1,0,1,0,0,0,0
0,Resort Hotel,June,0,79.0,Corporate,Transient,No Deposit,0,0,6,0,0,0,0
1,Resort Hotel,April,132,61.5,Online TA,Transient,No Deposit,4,0,4,0,1,0,4
0,Resort Hotel,July,143,78.6,Offline TA/TO,Contract,No Deposit,2,0,7,0,0,0,0
0,Resort Hotel,July,5,119.25,Online TA,Transient,No Deposit,1,0,7,0,0,1,0
0,Resort Hotel,July,16,106.5,Direct,Transient,No Deposit,0,1,7,0,0,0,0
0,Resort Hotel,July,50,207.0,Online TA,Transient,No Deposit,0,0,7,0,0,1,0
0,Resort Hotel,July,143,90.95,Offline TA/TO,Transient-Party,No Deposit,1,0,7,0,0,0,0
0,Resort Hotel,August,160,119.9,Direct,Transient,No Deposit,2,0,8,0,0,1,0
0,Resort Hotel,August,71,198.0,Direct,Transient,No Deposit,0,0,8,0,0,1,0
0,Resort Hotel,August,0,123.0,Direct,Transient,No Deposit,0,1,8,0,0,1,0
0,Resort Hotel,September,254,36.0,Groups,Transient-Party,No Deposit,0,0,9,0,0,0,0
0,Resort Hotel,September,262,91.2,Groups,Transient-Party,No Deposit,1,0,9,0,0,0,0
0,Resort Hotel,September,66,80.1,Online TA,Group,No Deposit,2,0,9,0,0,1,0
0,Resort Hotel,October,33,71.39,Online TA,Transient,No Deposit,1,0,10,0,0,0,0
0,Resort Hotel,November,5,58.0,Online TA,Transient,No Deposit,1,0,11,0,0,0,0
0,Resort Hotel,November,43,32.83,Offline TA/TO,Transient,No Deposit,0,0,11,0,0,0,0
0,Resort Hotel,June,0,79.0,Offline TA/TO,Transient,No Deposit,1,0,6,0,1,0,0
0,Resort Hotel,December,36,48.0,Online TA,Transient,No Deposit,1,0,12,0,0,0,0
0,Resort Hotel,December,128,25.92,Offline TA/TO,Transient,No Deposit,0,0,12,0,0,0,0
0,Resort Hotel,December,3,0.0,Online TA,Transient,No Deposit,1,0,12,0,0,0,0
0,Resort Hotel,January,7,56.0,Online TA,Transient,No Deposit,1,0,1,0,0,0,0
0,Resort Hotel,January,60,26.0,Offline TA/TO,Transient,No Deposit,0,1,1,0,0,0,0
0,Resort Hotel,January,5,30.0,Corporate,Transient,No Deposit,0,0,1,0,0,0,0
0,Resort Hotel,January,0,54.0,Online TA,Transient,No Deposit,1,0,1,0,0,1,0
0,Resort Hotel,February,0,39.0,Direct,Transient,No Deposit,0,0,2,0,0,0,0
0,Resort Hotel,July,5,0.0,Complementary,Transient,No Deposit,2,0,7,0,1,1,0
0,Resort Hotel,February,3,55.0,Online TA,Transient,No Deposit,0,0,2,0,0,1,0
0,Resort Hotel,March,29,73.92,Online TA,Transient,No Deposit,0,0,3,0,0,0,0
0,Resort Hotel,March,0,65.0,Online TA,Transient,No Deposit,1,0,3,0,0,0,0
0,Resort Hotel,March,12,44.87,Offline TA/TO,Transient,No Deposit,0,0,3,0,0,0,0
0,Resort Hotel,March,31,98.0,Direct,Transient,No Deposit,0,0,3,0,0,0,0
0,Resort Hotel,March,79,80.6,Online TA,Transient,No Deposit,1,0,3,0,0,1,0
0,Resort Hotel,March,32,21.0,Corporate,Transient,No Deposit,1,0,3,0,0,0,0
0,Resort Hotel,March,36,101.27,Online TA,Transient,No Deposit,1,1,3,0,0,1,0
0,Resort Hotel,April,28,65.0,Online TA,Transient,No Deposit,1,0,4,0,0,0,0
0,Resort Hotel,April,14,73.15,Online TA,Transient,No Deposit,1,0,4,0,0,0,0
0,Resort Hotel,March,6,60.0,Direct,Transient,No Deposit,1,0,3,0,1,0,0
0,Resort Hotel,April,111,52.2,Online TA,Transient,No Deposit,1,0,4,0,0,0,0
0,Resort Hotel,April,30,160.5,Online TA,Transient,No Deposit,2,1,4,0,0,0,0
0,Resort Hotel,May,11,85.0,Groups,Transient-Party,No Deposit,0,0,5,0,0,0,0
0,Resort Hotel,April,107,60.3,Offline TA/TO,Transient,No Deposit,0,0,4,0,0,0,0
0,Resort Hotel,May,108,44.07,Offline TA/TO,Transient,No Deposit,0,0,5,0,0,1,0
0,Resort Hotel,May,468,67.0,Groups,Transient-Party,No Deposit,0,0,5,0,0,0,0
0,Resort Hotel,May,236,48.0,Groups,Transient-Party,No Deposit,0,1,5,0,0,1,0
0,Resort Hotel,May,116,90.0,Online TA,Transient,No Deposit,3,0,5,0,0,0,0
0,Resort Hotel,May,123,85.2,Online TA,Transient,No Deposit,2,0,5,0,0,1,0
0,Resort Hotel,May,131,76.0,Offline TA/TO,Transient,No Deposit,0,0,5,0,0,0,0
0,Resort Hotel,June,100,117.9,Direct,Transient,No Deposit,0,0,6,0,0,0,0
0,Resort Hotel,June,7,152.16,Offline TA/TO,Transient,No Deposit,0,0,6,0,0,1,0
0,Resort Hotel,June,157,53.85,Offline TA/TO,Contract,No Deposit,1,1,6,0,0,0,0
0,Resort Hotel,June,130,139.5,Online TA,Transient,No Deposit,1,0,6,0,0,1,0
0,Resort Hotel,July,1,156.4,Offline TA/TO,Transient,No Deposit,0,0,7,0,0,0,0
0,Resort Hotel,July,83,144.0,Groups,Transient-Party,No Deposit,0,0,7,0,0,0,0
0,Resort Hotel,August,152,162.0,Online TA,Transient,No Deposit,2,0,8,0,0,0,0
0,Resort Hotel,August,14,190.23,Online TA,Transient,No Deposit,1,0,8,0,0,0,0
0,Resort Hotel,August,166,100.8,Offline TA/TO,Transient-Party,No Deposit,0,0,8,0,0,0,0
0,Resort Hotel,August,207,115.2,Direct,Transient,No Deposit,0,0,8,0,0,0,0
0,Resort Hotel,September,248,8.0,Offline TA/TO,Transient,No Deposit,0,0,9,0,0,0,0
0,Resort Hotel,September,0,120.0,Direct,Transient,No Deposit,0,0,9,0,0,1,0
0,Resort Hotel,September,24,169.0,Direct,Transient-Party,No Deposit,2,0,9,0,0,0,0
0,Resort Hotel,September,8,99.0,Corporate,Transient-Party,No Deposit,0,1,9,0,0,0,0
0,Resort Hotel,September,296,76.5,Offline TA/TO,Transient,No Deposit,0,0,9,0,0,0,0
0,Resort Hotel,September,19,19.0,Direct,Transient,No Deposit,0,7,9,0,0,1,0
0,Resort Hotel,September,177,65.0,Offline TA/TO,Transient,No Deposit,0,0,9,0,0,0,0
0,Resort Hotel,October,55,50.66,Online TA,Transient,No Deposit,1,0,10,0,0,1,0
0,Resort Hotel,October,2,52.8,Online TA,Transient-Party,No Deposit,0,0,10,0,0,0,0
0,Resort Hotel,October,39,47.0,Offline TA/TO,Transient,No Deposit,0,0,10,0,0,0,0
1,Resort Hotel,August,74,134.0,Direct,Transient,No Deposit,1,1,8,0,0,0,0
0,Resort Hotel,August,150,96.3,Offline TA/TO,Transient,No Deposit,1,0,8,0,0,0,0
